class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,maturalny,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,pilnowal,nieNie,6,wyzsza,mocnoRosnie,4,M
pierwszej,inny,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,pilnowal,nieTak,3,nizsza,lekkoMaleje,2,K
pierwszej,inny,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,brakUwagi,takTak,5,dokladnie,bezZmian,2,K
pierwszej,maturalny,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,pilnowal,takTak,3,dokladnie,bezZmian,3,M
pierwszej,inny,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,pilnowal,nieTak,2,dokladnie,mocnoRosnie,3,K
pierwszej,maturalny,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,brakUwagi,takNie,2,nizsza,lekkoMaleje,3,K
pierwszej,inny,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,pilnowal,nieTak,2,nizsza,lekkoMaleje,2,K
pierwszej,maturalny,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,nieNie,6,dokladnie,bezZmian,1,K
pierwszej,maturalny,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieTak,1,nizsza,lekkoMaleje,2,M
pierwszej,maturalny,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,prawidlowyPrzebieg,nieTak,2,nizsza,mocnoMaleje,2,K
